ID Number,Full Name,Date of Birth,Gender,Phone Number,Address,Active?,Role,Doctor's Name,Doctor's Phone Number,Insurance Provider,Insurance Policy Number,Allergies,Notes,Username,Password,Locked?,Prescription IDs
1,Molly Auer,7/11/2004,Female,5204246286,"3102 W Speedway Blvd, Tucson,  AZ 85748",TRUE,ITAdministrator, , , , , , ,mollyauer,WildcatFurLife!44,FALSE, 
2,Super Nova,4/13/2005,Female,5554687987,"3124 W Nowhere Ln, Tucson,  AZ 87965",TRUE,Patient,Dr. Larry McBarry,5557898764,United HealthCare,5.55E+12,"Ibuprofen, Hay, Penicillin",Sensitive to light, , , , 
3,Randy Rango,5/28/1999,Male,5554897683,"3241 E Righty Ln, Tucson,  AZ 85745",TRUE,Patient,Dr. Earnest Hemmingway,5556897864,,0,,, , , , 
4,Cheryl Wanda,5/18/1973,Female,5554687987,"4423 W Wetmore Pl, Tucson,  AZ 45678",TRUE,Patient,Dr. Many Mangrove,5557894687,Blue Cross Blue Shield,11234567,,, , , ,"8,9,"
6,Jermaine Cloud,9/26/1998,Male,5556879864,"423 W Southbend Ave, Tucson,  AZ 87956",TRUE,PharmacyTech, , , , , , ,jermainecloud,Partridge42#,FALSE, 
7,Linda Rondstadt,5/8/1952,Female,5556987964,"324 W Rondstadt Pl, Tucson,  AZ 87965",TRUE,Cashier, , , , , , ,lrondstadt,Iamalegend!999,true, 
8,Diana Saldana,9/27/1990,Female,5207689586,"4286 W Dove Dr, Tucson,  AZ 85235",TRUE,ITAdministrator, , , , , , ,dsaldana,CodingisAwesome<3,FALSE, 
9,Jonah Camacho,10/26/2003,Male,5204568976,"123 N Path Ln, Tucson,  AZ 87965",TRUE,ITAdministrator, , , , , , ,jcamacho,Debuggin24!7,FALSE, 
10,Tanisha Taariq,4/18/2004,Female,5201234567,"586 S Indigo St, Tucson,  AZ 87653",TRUE,ITAdministrator, , , , , , ,tanishataariq,Softwarere@33,FALSE, 
11,Dr. Wendy Wippet,3/21/1968,Female,5556879864,"5667 W Groveton Pl, Tucson,  AZ 87965",TRUE,Pharmacist, , , , , , ,wendywippet,ImmaDoctorrr!!!x3,FALSE, 
12,Elanore Green,8/14/1998,Female,5556879864,"3242 W Reid Dr, Tucson,  AZ 87965",TRUE,PharmacyManager, , , , , , ,elanoregreen,RunningthisZ00!,FALSE, 
13,Patty Grier,8/26/1975,Female,5557896436,"4256 S Belkmore Ln, Tucson,  AZ 87654",TRUE,Patient,Dr. Wendy LooHoo,5557896846,,0,,, , , ,"1,2,3,"
14,Sandy Cheeks,8/17/2006,Female,5556879468,"453 W Rightmore Ln, Tucson,  AZ 87956",TRUE,Patient,Dr. Meryl Streep,5557896986,Blue Cross Blue shield,5.65E+12,,, , , , 
15,Ronald McDonald,6/16/1966,Male,1234567898,"342 W McDonald Ln, Tucson,  AZ 89765",TRUE,Cashier,,,, , , ,rmcdonald,Ilovehamburgers!#,FALSE,
16,Shelly Stein,12/8/2005,Female,5556489786,"657 N Reimann Rd, Tucson,  AZ 85974",TRUE,PharmacyManager, , , , , , ,shellystein,OutbackforLife@$,FALSE, 
17,Fred Flinstone,6/17/2004,Male,5556849878,"42358 N Cottongrove Ln, Tucson,  AZ 87956",FALSE,ITAdministrator, , , , , , ,fflinstone,CallmeMrFlinstone$$$,FALSE, 
18,Teresa Monet,6/18/1975,Female,5556987986,"548 N Starlight Dr, Tucson,  AZ 85746",TRUE,Patient,Dr. Gary Snails,5556489789,,0,,, , , ,"7,12,"
20,Teresa Point,9/26/2001,Female,5554689798,"4234 W Grantle Ln, Tucson, AZ 85746",TRUE,Patient,Dr. Macko Fry,5554687986,United Health Care,1.23E+12,"Penicillin, Hay",, , , ,
21,Troye Sivan,8/26/1993,Male,5554687987,"765 W Gilded Ln, Tucson, AZ 85475",TRUE,Patient,Dr. Freddy Mercury,5554687986,,0,,, , , ,"4,5,6,"
22,Oliver Orange,02/014/2023,Male,5556789876,"216 W Speedway Blvd, Apt 543, Tucson, AZ 87965",TRUE,Patient,Dr. Reese withers,5556987896,,0,,, , , ,"10,"
23,Nova Vojel,4/13/2006,Female,5556879846,"2600 W Speedway Blvd, Tucson, AZ 87965",TRUE,Patient,Dr. Larry McCak,5556489798,Blue Cross Blue Shield,456789865,"Hay, Pollen",, , , ,"11,"
24,Mary Jane,04/13/1991,Female,5204326895,"346 W Speedway Blvd, Tucson, AZ 85746",true,PharmacyManager, , , , , , ,maryjane,LastDanceW/ME!,false
25,Jimmy John,07/11/2000,Male,5204324896,"698 N Oracle Rd, Tucson, AZ 85746",true,Patient,Dr. Perry Miller,5206435849,United HealthCare,897654321,"Penicillin, Acetaminophen, Pollen","Patient needs hearing assitance at register", , , ,
26,Freddy Mercury,09/05/1946,Male,5204648976,"123 W Lucky Ln, Tucson, AZ 85749",true,PharmacyTech, , , , , , ,freddymercury,KingOfQueens!$,false
27,Ronald Rogers,08/17/1952,Male,5557896987,"213 N Oracle Rd, Tucson, AZ 85796",true,Patient,Dr. Fred Stanley,5554678987,United Health Care,12345678987,"Penicillin, Amlodepine","", , , ,"13,"
28,Wendy LooHoo,07/11/2006,Female,5554687987,"444 W Speedway Blvd, Tucson, AZ 85746",true,PharmacyTech, , , , , , ,wendyloohoo4,IloveDr.Seuss!###,false
29,Perry Platapus,06/07/1994,Other,5554368978,"564 S Bend Rd, Tucson, AZ 85746",true,PharmacyManager, , , , , , ,pplatapus,ReadyToSwimm$$,false
